architecture;cycle_id;rawVal;moisturePct;end_to_end_latency_ms;mqtt_messages_count;reading_received;command_ack_received;data_loss;command_loss;decision;tb_connected;min_free_heap
cloud;1;4144;55.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;102084
cloud;2;4007;57.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;102084
cloud;3;3917;59.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;102084
cloud;4;3865;60.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;102084
cloud;5;2837;83.00;3000;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;102084
cloud;6;2896;83.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;98740
cloud;7;6335;6.00;158;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_ON;YES;98740
cloud;8;6235;8.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98740
cloud;9;6215;8.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98740
cloud;10;2771;85.00;152;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_OFF;YES;98740
cloud;11;4768;41.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;98740
cloud;12;4701;42.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;98740
cloud;13;4627;44.00;3000;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;98740
cloud;14;4589;44.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;98740
cloud;15;2443;93.00;3000;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;98740
cloud;16;2488;92.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;97000
cloud;17;4905;37.00;128;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_ON;YES;97000
cloud;18;6524;1.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;97000
cloud;19;6573;1.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;97000
cloud;20;2869;83.00;193;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_OFF;YES;97000
cloud;21;2749;85.00;3000;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;97000
cloud;22;2661;88.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;97000
cloud;23;2772;85.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;97000
cloud;24;5852;16.00;163;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_ON;YES;97000
cloud;25;5835;17.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;97000
cloud;26;5819;17.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;97000
cloud;27;5743;19.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;97000
cloud;28;6585;1.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;97000
cloud;29;6501;2.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;97000
cloud;30;6634;0.00;3000;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;NO;94952
cloud;31;6612;0.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94952
cloud;32;6484;2.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94952
cloud;33;2849;84.00;3002;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94952
cloud;34;2779;85.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94952
cloud;35;2680;87.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94952
cloud;36;3129;77.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94952
cloud;37;3170;76.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94952
cloud;38;3155;77.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94952
cloud;39;3062;78.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94952
cloud;40;6582;1.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94952
cloud;41;0;0.00;0;0;FAILED;NA;YES;NA;NO_WIFI;NO;94952
cloud;42;6590;0.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94952
cloud;43;2770;85.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94952
cloud;44;6626;0.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;95288
cloud;45;5619;22.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;95288
cloud;46;5492;24.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;95288
cloud;47;5640;21.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;95288
cloud;48;5614;22.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;95288
cloud;49;5530;24.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;95288
cloud;50;5485;24.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;95288
cloud;51;4420;48.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;95288
cloud;52;4555;45.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;95288
cloud;53;4613;44.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;95288
cloud;54;4608;44.00;3002;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;95288
cloud;55;4690;42.00;3002;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;95288
cloud;56;4765;40.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;95288
cloud;57;4912;38.00;3002;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;95288
cloud;58;4815;40.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;95288
cloud;59;6539;1.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;95288
cloud;60;2217;98.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;95288
cloud;61;2132;100.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;95288
cloud;62;2864;83.00;3002;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;95288
cloud;63;2923;81.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;95288
cloud;64;2998;80.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;95288
cloud;65;2464;92.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;95288
cloud;66;6334;6.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;96524
cloud;67;6588;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;96524
cloud;68;5193;32.00;3000;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;96524
cloud;69;5103;34.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;96524
cloud;70;5063;34.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;96524
cloud;71;5133;33.00;3000;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;96524
