architecture;cycle_id;raw_value;moisture_pct;end_to_end_latency_ms;mqtt_messages_count;reading_received;command_ack_received;data_loss;command_loss;decision;cloud_outage;min_free_heap
hybrid;1;6313;6.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;NO;99628
hybrid;2;5807;18.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;99628
hybrid;3;5560;23.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;99628
hybrid;4;4484;48.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;NO;99628
hybrid;5;3627;69.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;NO;99628
hybrid;6;2744;88.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;99628
hybrid;7;3516;71.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;99628
hybrid;8;4233;54.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;NO;99628
hybrid;9;5122;33.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;NO;99628
hybrid;10;5992;15.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;99628
hybrid;11;6326;6.00;1;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;99628
hybrid;12;6302;7.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;99628
hybrid;13;4554;46.00;1;0;RECEIVED;NA;NO;NA;KEEP_ON;NO;99628
hybrid;14;4081;58.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;NO;99628
hybrid;15;2740;89.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;NO;99628
hybrid;16;2414;96.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;99628
hybrid;17;5138;33.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;NO;99628
hybrid;18;5820;17.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;99628
hybrid;19;6588;1.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;99628
hybrid;20;6512;2.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;99628
hybrid;21;6228;8.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;99628
hybrid;22;6178;9.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;99628
hybrid;23;5757;20.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;99628
hybrid;24;4576;46.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;NO;99628
hybrid;25;5194;33.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;99628
hybrid;26;2781;88.00;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;YES;99628
hybrid;27;3556;71.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;YES;99628
hybrid;28;4003;60.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;YES;99628
hybrid;29;5119;34.00;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;YES;99628
hybrid;30;5866;16.00;1;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;99628
hybrid;31;5092;35.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;99628
hybrid;32;6313;6.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;99628
hybrid;33;4122;57.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;YES;99628
hybrid;34;3656;67.00;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;YES;99628
hybrid;35;2798;88.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;YES;99628
hybrid;36;3294;77.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;YES;99628
hybrid;37;5043;36.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;YES;99628
hybrid;38;5832;17.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;99628
