architecture;cycle_id;raw_value;moisture_pct;end_to_end_latency_ms;mqtt_messages_count;reading_received;command_ack_received;data_loss;command_loss;decision;cloud_outage;min_free_heap
hybrid;1;5645;22.00;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;NO;98744
hybrid;2;6212;9.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;98744
hybrid;3;6504;3.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;98744
hybrid;4;4876;39.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;98744
hybrid;5;4206;55.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;NO;98744
hybrid;6;3666;67.00;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;NO;98744
hybrid;7;2610;92.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;98744
hybrid;8;3144;79.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;98744
hybrid;9;4505;48.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;NO;98744
hybrid;10;5166;32.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;NO;98744
hybrid;11;5918;15.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;98744
hybrid;12;6588;1.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;98744
hybrid;13;6370;5.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;98744
hybrid;14;4542;47.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;NO;98744
hybrid;15;3846;64.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;NO;98744
hybrid;16;2623;92.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;98744
hybrid;17;3048;81.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;98744
hybrid;18;5114;35.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;NO;98744
hybrid;19;5730;21.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;98744
hybrid;20;6173;10.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;98744
hybrid;21;5969;14.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;98744
hybrid;22;6194;9.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;98744
hybrid;23;6451;4.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;98744
hybrid;24;4918;38.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;98744
hybrid;25;4084;57.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;YES;98744
