architecture,cycle_id,rawVal,moisturePct,end_to_end_latency_ms,mqtt_messages_count,reading_received,command_ack_received,data_loss,command_loss,decision,min_free_heap
edge,1,2160,99.00,1,1,RECEIVED,SUCCESS,NO,NO,PUMP_OFF,106640
edge,2,2078,100.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106568
edge,3,2252,97.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106568
edge,4,4126,55.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106568
edge,5,4293,52.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106568
edge,6,4343,50.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106568
edge,7,4505,47.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106568
edge,8,4645,44.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106568
edge,9,4670,43.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106566
edge,10,4529,46.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106568
edge,11,4423,49.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106567
edge,12,4266,52.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106568
edge,13,4095,56.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106566
edge,14,3980,58.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106568
edge,15,3927,60.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106567
edge,16,3824,62.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106566
edge,17,5385,27.00,1,1,RECEIVED,SUCCESS,NO,NO,PUMP_ON,106568
edge,18,5633,22.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106566
edge,19,5768,19.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106568
edge,20,5891,16.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106568
edge,21,6101,11.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106566
edge,22,6466,3.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106567
edge,23,6329,6.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106568
edge,24,6165,9.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106568
edge,25,6069,12.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106568
edge,26,5860,17.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106568
edge,27,5149,33.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106568
edge,28,5349,28.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106568
edge,29,5500,25.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106568
edge,30,5727,20.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106566
edge,31,5828,17.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106568
edge,32,2509,91.00,2,1,RECEIVED,SUCCESS,NO,NO,PUMP_OFF,106568
edge,33,2492,92.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106568
edge,34,2396,93.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106566
edge,35,2340,94.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106567
edge,36,2358,94.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106568
edge,37,2366,94.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106568
edge,38,5339,28.00,1,1,RECEIVED,SUCCESS,NO,NO,PUMP_ON,106568
edge,39,5550,23.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106568
edge,40,4113,56.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106566
edge,41,4239,53.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106568
edge,42,4384,50.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106568
edge,43,4471,48.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106568
edge,44,2580,90.00,1,1,RECEIVED,SUCCESS,NO,NO,PUMP_OFF,106568
edge,45,2676,87.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106568
edge,46,3448,70.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106566
edge,47,3250,74.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106568
edge,48,3031,79.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106566
edge,49,4147,55.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106568
edge,50,4199,54.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106568
edge,51,4162,54.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106566
edge,52,4302,51.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106567
edge,53,4283,51.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106568
edge,54,4361,50.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106568
edge,55,4395,49.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106568
edge,56,4476,47.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106567
edge,57,4571,45.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106568
edge,58,4595,44.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106567
edge,59,4609,44.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106568
edge,60,4637,43.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106568
edge,61,5182,31.00,2,1,RECEIVED,SUCCESS,NO,NO,PUMP_ON,106567
edge,62,2626,89.00,2,1,RECEIVED,SUCCESS,NO,NO,PUMP_OFF,106567
edge,63,2419,93.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106566
edge,64,2281,96.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106492
edge,65,2108,100.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106492
edge,66,2351,95.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106566
edge,67,2526,91.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106416
edge,68,2657,88.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106567
edge,69,2848,83.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106566
edge,70,3085,78.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106416
edge,71,3334,73.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106568
edge,72,3505,69.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106568
