architecture;cycle_id;raw_value;moisture_pct;end_to_end_latency_ms;mqtt_messages_count;reading_received;command_ack_received;data_loss;command_loss;decision;cloud_outage;min_free_heap
hybrid;1;6220;7.00;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;NO;99488
hybrid;2;5824;15.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;99488
hybrid;3;5466;24.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;99488
hybrid;4;4428;48.00;1;0;RECEIVED;NA;NO;NA;KEEP_ON;NO;99488
hybrid;5;3566;68.00;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;NO;99488
hybrid;6;2696;88.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;99488
hybrid;7;3258;74.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;99488
hybrid;8;4150;54.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;NO;99488
hybrid;9;4914;36.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;NO;99488
hybrid;10;5801;16.00;2;1;RECEIVED;NA;NO;NA;PUMP_ON;NO;99488
hybrid;11;6288;5.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;99488
hybrid;12;6214;7.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;99488
hybrid;13;4638;43.00;1;0;RECEIVED;NA;NO;NA;KEEP_ON;NO;99488
hybrid;14;3826;61.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;NO;99488
hybrid;15;2681;88.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;99488
hybrid;16;3108;78.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;99488
hybrid;17;4925;36.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;NO;99488
hybrid;18;5701;18.00;1;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;99488
hybrid;19;6304;4.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;99488
hybrid;20;6336;4.00;1;1;RECEIVED;NA;NO;NA;PUMP_ON;NO;99488
hybrid;21;6132;9.00;1;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;99488
hybrid;22;5992;12.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;99488
hybrid;23;5624;20.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;99488
hybrid;24;4422;48.00;1;0;RECEIVED;NA;NO;NA;KEEP_ON;NO;99488
hybrid;25;3550;68.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;YES;99488
hybrid;26;2716;87.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;YES;99488
hybrid;27;3380;72.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;YES;99488
hybrid;28;4018;57.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;YES;99488
hybrid;29;5042;33.00;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;YES;99488
hybrid;30;5694;19.00;1;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;99488
hybrid;31;6214;7.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;99488
hybrid;32;6210;7.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;99488
hybrid;33;4775;40.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;YES;99488
hybrid;34;3682;65.00;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;YES;99488
hybrid;35;2587;90.00;1;0;RECEIVED;NA;NO;NA;PUMP_OFF;YES;99488
hybrid;36;3042;79.00;1;0;RECEIVED;NA;NO;NA;PUMP_OFF;YES;99488
hybrid;37;4859;38.00;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;YES;99488
hybrid;38;5742;17.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;99488
hybrid;39;6454;1.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;99488
hybrid;40;6229;6.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;99488
hybrid;41;6130;9.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;99488
