architecture;cycle_id;rawVal;moisturePct;end_to_end_latency_ms;mqtt_messages_count;reading_received;command_ack_received;data_loss;command_loss;decision;min_free_heap
edge;1;6642;0.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;106716
edge;2;6638;0.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106716
edge;3;6628;0.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106716
edge;4;2710;87.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;106644
edge;5;6332;3.00;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;106644
edge;6;2346;95.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;106644
edge;7;2128;100.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;8;2582;90.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;9;5908;13.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;106644
edge;10;6048;10.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;11;6108;9.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;12;2792;85.00;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;106644
edge;13;2728;86.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;14;5288;27.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;106644
edge;15;5014;34.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;16;4920;36.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;17;4872;37.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;18;4834;38.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;19;2430;93.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;106644
edge;20;3046;79.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;21;3134;77.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;22;3110;77.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;23;4728;40.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;24;4718;40.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;25;3230;75.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;26;3310;73.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;27;4892;36.00;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;106644
edge;28;2774;85.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;106644
edge;29;4958;35.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;106644
edge;30;3024;79.00;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;106644
edge;31;5070;32.00;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;106644
edge;32;3332;72.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;106644
edge;33;5002;34.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;106644
edge;34;2770;85.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;106644
edge;35;3882;60.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;36;2736;86.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;37;2678;87.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;38;2510;91.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;39;2126;100.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;40;6092;9.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;106644
edge;41;6634;0.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;42;6630;0.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;43;4912;36.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;44;3420;70.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;106644
edge;45;4630;42.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;46;6496;0.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;106644
edge;47;6324;4.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;48;5100;32.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;49;2408;94.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;106644
edge;50;2124;100.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;51;2086;100.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;52;2078;100.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;53;2310;96.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;54;2316;96.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;55;2148;100.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;56;2174;99.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;57;6482;0.00;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;106644
edge;58;4530;45.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;59;4110;54.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;60;6334;3.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;61;2440;93.00;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;106644
edge;62;2520;91.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;63;2354;94.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;64;2398;93.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;65;5212;29.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;106644
edge;66;5258;28.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;67;5296;27.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;68;5338;26.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;69;2182;99.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;106644
edge;70;2206;98.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;71;2244;97.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;72;2282;96.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;106644
edge;73;5124;31.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;106644
edge;74;5188;30.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
edge;75;5236;29.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;106644
