architecture,cycle_id,rawVal,moisturePct,end_to_end_latency_ms,mqtt_messages_count,reading_received,command_ack_received,data_loss,command_loss,decision,min_free_heap
edge,1,4938,37.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106896
edge,2,5057,35.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106824
edge,3,5126,33.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,107004
edge,4,4408,48.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106824
edge,5,4478,47.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106823
edge,6,4539,46.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106824
edge,7,4552,45.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106824
edge,8,4623,44.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106824
edge,9,3634,66.00,1,1,RECEIVED,SUCCESS,NO,NO,PUMP_OFF,106822
edge,10,3839,62.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106824
edge,11,3977,59.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106823
edge,12,4105,56.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106824
edge,13,4163,54.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106824
edge,14,4369,50.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106824
edge,15,4523,46.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106824
edge,16,4656,43.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106823
edge,17,6260,7.00,2,1,RECEIVED,SUCCESS,NO,NO,PUMP_ON,106822
edge,18,6535,2.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106822
edge,19,6634,0.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106824
edge,20,6406,5.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106824
edge,21,6167,9.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106824
edge,22,5982,13.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106823
edge,23,5855,16.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106824
edge,24,5724,20.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106824
edge,25,5506,25.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106824
edge,26,5263,29.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106824
edge,27,2291,95.00,1,1,RECEIVED,SUCCESS,NO,NO,PUMP_OFF,106822
edge,28,2123,100.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106822
edge,29,2124,100.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106824
edge,30,2535,91.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106824
edge,31,2764,85.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106822
edge,32,2878,82.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106823
edge,33,3119,77.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106822
edge,34,3360,72.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106824
edge,35,3562,68.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106824
edge,36,3700,64.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106824
edge,37,3912,60.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106824
edge,38,2238,97.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106824
edge,39,2390,93.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106824
edge,40,2572,89.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106823
edge,41,2755,86.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106824
edge,42,2949,81.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106824
edge,43,3221,75.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106824
edge,44,3390,71.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106824
edge,45,3617,66.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106822
edge,46,3830,61.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106823
edge,47,4060,56.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106824
edge,48,4377,50.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106824
edge,49,4608,45.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106824
edge,50,2362,94.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106824
edge,51,2268,96.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106824
edge,52,2090,100.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106824
edge,53,2087,100.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106824
edge,54,2203,97.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106824
edge,55,2440,93.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106824
edge,56,2525,90.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106822
edge,57,2616,88.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106824
edge,58,2794,84.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106824
edge,59,3053,79.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106823
edge,60,3234,75.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106823
edge,61,3480,70.00,0,0,RECEIVED,NA,NO,NA,KEEP_OFF,106822
edge,62,5282,29.00,1,1,RECEIVED,SUCCESS,NO,NO,PUMP_ON,106822
edge,63,5403,26.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106672
edge,64,5590,22.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106824
edge,65,5674,21.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106824
edge,66,5809,18.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106748
edge,67,5969,14.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106824
edge,68,6100,11.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106748
edge,69,6241,8.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106748
edge,70,6409,4.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106824
edge,71,6550,1.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106824
edge,72,6581,0.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106748
edge,73,4659,43.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106824
edge,74,4543,46.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106823
edge,75,4373,49.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106824
edge,76,6619,0.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106822
edge,77,6518,2.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106824
edge,78,6369,5.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106823
edge,79,6112,11.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106824
edge,80,6145,10.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106824
edge,81,6187,9.00,0,0,RECEIVED,NA,NO,NA,KEEP_ON,106824
