architecture;cycle_id;raw_value;moisture_pct;end_to_end_latency_ms;mqtt_messages_count;reading_received;command_ack_received;data_loss;command_loss;decision;cloud_outage;min_free_heap
hybrid;1;5660;19.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;NO;98296
hybrid;2;6150;8.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;98296
hybrid;3;6454;1.00;1;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;98296
hybrid;4;4742;40.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;NO;98296
hybrid;5;3971;58.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;NO;98296
hybrid;6;3294;74.00;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;NO;98296
hybrid;7;2595;90.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;98296
hybrid;8;2913;82.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;98296
hybrid;9;4358;49.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;NO;98296
hybrid;10;5232;29.00;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;NO;98296
hybrid;11;5952;13.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;98296
hybrid;12;6414;2.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;98296
hybrid;13;6214;6.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;98296
hybrid;14;4598;44.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;NO;98296
hybrid;15;3648;65.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;NO;98296
hybrid;16;2348;95.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;98296
hybrid;17;2928;82.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;98296
hybrid;18;4829;38.00;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;NO;98296
hybrid;19;5564;21.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;98296
hybrid;20;6170;8.00;2;1;RECEIVED;NA;NO;NA;PUMP_ON;NO;98296
hybrid;21;5872;15.00;1;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;98296
hybrid;22;6182;7.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;98296
hybrid;23;6284;5.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;98296
hybrid;24;4888;37.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;98296
hybrid;25;4028;57.00;1;0;RECEIVED;NA;NO;NA;KEEP_ON;YES;98296
hybrid;26;3394;71.00;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;YES;98296
hybrid;27;2534;91.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;YES;98296
hybrid;28;2843;84.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;YES;98296
hybrid;29;4372;49.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;YES;98296
hybrid;30;5394;26.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;YES;98296
hybrid;31;5870;14.00;1;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;98296
hybrid;32;6260;5.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;98296
hybrid;33;6130;9.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;98296
hybrid;34;4628;43.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;YES;98296
hybrid;35;3654;65.00;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;YES;98296
hybrid;36;2350;95.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;YES;98296
hybrid;37;3000;81.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;YES;98296
hybrid;38;4861;38.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;YES;98296
hybrid;39;5553;22.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;98296
hybrid;40;6165;8.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;98296
hybrid;41;5666;19.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;98296
hybrid;42;6157;8.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;98296
hybrid;43;6436;1.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;98296
hybrid;44;4830;38.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;98296
hybrid;45;3934;59.00;1;0;RECEIVED;NA;NO;NA;KEEP_ON;YES;98296
hybrid;46;3270;74.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;YES;98296
hybrid;47;2556;91.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;YES;98296
hybrid;48;2940;82.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;YES;98296
hybrid;49;4188;53.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;YES;98296
hybrid;50;5277;28.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;YES;98296
hybrid;51;5998;12.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;98296
hybrid;52;6344;3.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;98296
hybrid;53;6043;10.00;1;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;98296
hybrid;54;4560;45.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;YES;98296
hybrid;55;3578;67.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;YES;98296
hybrid;56;2317;96.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;YES;98296
hybrid;57;3062;79.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;YES;98296
hybrid;58;4954;35.00;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;YES;98296
hybrid;59;5476;23.00;1;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;98296
hybrid;60;6298;5.00;1;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;98296
hybrid;61;5782;16.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;98296
hybrid;62;6166;8.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;98296
hybrid;63;6294;5.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;98296
hybrid;64;4704;41.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;NO;98296
hybrid;65;3930;59.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;NO;98296
hybrid;66;3377;72.00;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;NO;98296
hybrid;67;2548;91.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;98296
hybrid;68;2870;83.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;98296
hybrid;69;4310;50.00;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;NO;98296
hybrid;70;5368;26.00;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;NO;98296
hybrid;71;5954;12.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;98296
hybrid;72;6239;6.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;98296
hybrid;73;6108;9.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;98296
hybrid;74;4486;46.00;1;0;RECEIVED;NA;NO;NA;KEEP_ON;NO;98296
hybrid;75;3684;65.00;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;NO;98296
hybrid;76;2324;96.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;98296
hybrid;77;2921;82.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;98296
hybrid;78;4913;36.00;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;NO;98296
hybrid;79;5559;22.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;98296
hybrid;80;6250;6.00;1;1;RECEIVED;NA;NO;NA;PUMP_ON;NO;98296
hybrid;81;5668;19.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;98296
hybrid;82;6198;7.00;1;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;98296
