architecture;cycle_id;raw_value;moisture_pct;end_to_end_latency_ms;mqtt_messages_count;reading_received;command_ack_received;data_loss;command_loss;decision;cloud_outage;min_free_heap
hybrid;1;5983;14.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;NO;100104
hybrid;2;6157;10.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;100104
hybrid;3;6580;1.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;100104
hybrid;4;4806;41.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;NO;100104
hybrid;5;3712;67.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;NO;100104
hybrid;6;2864;85.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;100104
hybrid;7;3254;77.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;100104
hybrid;8;4982;38.00;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;NO;100104
hybrid;9;5300;29.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;100104
hybrid;10;5925;16.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;100104
hybrid;11;6545;2.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;100104
hybrid;12;6483;2.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;100104
hybrid;13;4583;46.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;NO;100104
hybrid;14;3236;77.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;NO;100104
hybrid;15;2744;89.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;100104
hybrid;16;3670;67.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;100104
hybrid;17;5230;32.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;NO;100104
hybrid;18;5918;15.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;100104
hybrid;19;6474;3.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;100104
hybrid;20;6374;5.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;100104
hybrid;21;3746;66.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;NO;100104
hybrid;22;6091;12.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;NO;100104
hybrid;23;6348;6.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;100104
hybrid;24;4866;40.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;NO;100104
hybrid;25;3660;67.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;YES;100104
hybrid;26;2772;87.00;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;YES;100104
hybrid;27;5963;14.00;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;YES;100104
hybrid;28;4424;51.00;0;0;RECEIVED;NA;NO;NA;KEEP_ON;YES;100104
hybrid;29;5364;28.00;0;0;RECEIVED;NA;NO;NA;PUMP_ON;YES;100104
hybrid;30;3782;64.00;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;YES;100104
hybrid;31;6518;2.00;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;YES;100104
