architecture;cycle_id;rawVal;moisturePct;end_to_end_latency_ms;mqtt_messages_count;reading_received;command_ack_received;data_loss;command_loss;decision;tb_connected;min_free_heap
cloud;1;6614;0.00;147;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_ON;YES;101348
cloud;2;6612;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;101348
cloud;3;6620;0.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;101164
cloud;4;6612;0.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;101164
cloud;5;6618;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;101164
cloud;1;6564;0.00;105;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_ON;YES;103844
cloud;2;2248;97.00;121;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_OFF;YES;103660
cloud;3;2338;95.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;98652
cloud;4;2534;91.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;98604
cloud;5;2378;94.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;98604
cloud;6;2368;94.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;98604
cloud;7;6566;0.00;124;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_ON;YES;98604
cloud;8;6566;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98604
cloud;9;6618;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98604
cloud;10;6596;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98604
cloud;11;2734;86.00;108;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_OFF;YES;98604
cloud;12;2528;91.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;98604
cloud;13;2430;93.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;98604
cloud;14;2388;94.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;98604
cloud;15;2428;93.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;98604
cloud;16;2346;95.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;98604
cloud;17;2336;95.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;98604
cloud;18;6044;10.00;128;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_ON;YES;98604
cloud;19;6576;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98604
cloud;20;6594;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98604
cloud;21;6572;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98604
cloud;22;6574;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;97000
cloud;23;4884;37.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;97000
cloud;24;2240;97.00;112;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_OFF;YES;97000
cloud;25;6590;0.00;101;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_ON;YES;97000
cloud;26;6590;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;97000
cloud;27;6594;0.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;97000
cloud;28;6592;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;97000
cloud;29;6572;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;97000
cloud;30;6574;0.00;3000;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;97000
cloud;31;6584;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;NO;97000
cloud;32;6586;0.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;97000
cloud;33;2234;98.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;97000
cloud;34;5526;22.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;97000
cloud;35;5876;14.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;97000
cloud;36;5664;19.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;97000
cloud;37;5766;16.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;97000
cloud;38;2632;88.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;97000
cloud;39;0;0.00;0;0;FAILED;NA;YES;NA;NO_WIFI;NO;97000
cloud;39;5734;17.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;97000
cloud;40;5846;15.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;97000
cloud;41;5780;16.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;97000
cloud;42;2378;94.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;97000
cloud;43;6480;0.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;97000
cloud;44;6628;0.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;97000
cloud;45;6632;0.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;97000
cloud;46;6570;0.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;97000
cloud;47;6242;5.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;97000
cloud;48;2398;94.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;97000
cloud;49;2462;92.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;97000
cloud;50;2592;89.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;97000
cloud;51;6248;5.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;95288
cloud;52;6562;0.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;95288
cloud;53;6580;0.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;95288
cloud;54;6592;0.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;95288
cloud;55;6566;0.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;95288
cloud;1;6590;0.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_OFF;NO;103548
cloud;2;6586;0.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_OFF;NO;88092
cloud;3;6592;0.00;158;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_ON;YES;88092
cloud;4;2644;88.00;117;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_OFF;YES;88092
cloud;5;5772;16.00;134;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_ON;YES;88092
cloud;6;2230;98.00;124;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_OFF;YES;88092
cloud;7;2224;98.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;88092
cloud;8;2218;98.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;88092
cloud;9;2246;97.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;88092
cloud;10;6486;0.00;108;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_ON;YES;88092
cloud;11;6486;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;88092
cloud;12;6458;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;88092
cloud;13;6434;1.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;88092
cloud;14;2262;97.00;104;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_OFF;YES;88092
