architecture;cycle_id;rawVal;moisturePct;end_to_end_latency_ms;mqtt_messages_count;reading_received;command_ack_received;data_loss;command_loss;decision;tb_connected;min_free_heap
cloud;1;6608;0.00;122;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_ON;YES;102084
cloud;2;6572;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;101252
cloud;3;2302;96.00;141;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_OFF;YES;99616
cloud;4;2332;95.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;98740
cloud;5;3492;69.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;98740
cloud;6;6556;0.00;114;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_ON;YES;98740
cloud;7;2824;84.00;105;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_OFF;YES;98740
cloud;8;6556;0.00;142;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_ON;YES;98740
cloud;9;2942;81.00;111;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_OFF;YES;98740
cloud;10;6574;0.00;118;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_ON;YES;98740
cloud;11;2330;95.00;123;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_OFF;YES;98740
cloud;12;6134;8.00;129;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_ON;YES;98740
cloud;13;2440;93.00;107;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_OFF;YES;98740
cloud;14;6450;1.00;108;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_ON;YES;98740
cloud;15;2336;95.00;126;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_OFF;YES;98740
cloud;16;2552;90.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;98740
cloud;17;2538;91.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;98740
cloud;18;2532;91.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;98740
cloud;19;2458;92.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;98740
cloud;20;5072;32.00;138;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_ON;YES;98740
cloud;21;6506;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98740
cloud;22;6582;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98740
cloud;23;6570;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98740
cloud;24;2388;94.00;116;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_OFF;YES;98740
cloud;25;6224;6.00;112;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_ON;YES;98740
cloud;26;6582;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98740
cloud;27;6574;0.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98740
cloud;28;6596;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98740
cloud;29;6576;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98740
cloud;30;6594;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98012
cloud;31;6588;0.00;3000;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98012
cloud;32;6580;0.00;3000;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98012
cloud;33;6606;0.00;3000;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98012
cloud;34;6574;0.00;3000;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;NO;98012
cloud;35;6576;0.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;98012
cloud;36;6588;0.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;98012
cloud;37;6600;0.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;97300
cloud;38;6604;0.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;97300
cloud;39;6590;0.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;97300
cloud;40;2178;99.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;97168
cloud;41;2354;95.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;97168
cloud;42;6586;0.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94044
cloud;43;6340;3.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94044
cloud;44;6248;5.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94044
cloud;45;3084;78.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94044
cloud;46;6600;0.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94044
cloud;47;6594;0.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94044
cloud;48;2274;97.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94044
cloud;49;6452;1.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94044
cloud;50;6540;0.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94044
cloud;51;2148;100.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94044
cloud;52;6408;2.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94044
cloud;53;5876;14.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;94044
cloud;54;2168;99.00;201;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_OFF;YES;94044
cloud;55;6364;3.00;129;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_ON;YES;94044
cloud;56;6436;1.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;94044
cloud;57;6428;1.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;94044
cloud;58;2396;94.00;105;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_OFF;YES;94044
cloud;59;6244;5.00;125;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_ON;YES;94044
cloud;60;2354;95.00;112;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_OFF;YES;94044
cloud;61;6234;6.00;143;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_ON;YES;94044
cloud;62;2248;97.00;115;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_OFF;YES;94044
cloud;63;6536;0.00;130;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_ON;YES;94044
cloud;64;2252;97.00;141;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_OFF;YES;94044
cloud;65;6520;0.00;139;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_ON;YES;94044
cloud;66;6614;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;94044
cloud;67;3540;68.00;116;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_OFF;YES;94044
cloud;68;2316;96.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;94044
cloud;69;2574;90.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;94044
cloud;70;2750;86.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;94044
