architecture;cycle_id;rawVal;moisturePct;end_to_end_latency_ms;mqtt_messages_count;reading_received;command_ack_received;data_loss;command_loss;decision;tb_connected;min_free_heap
cloud;1;6602;0.00;106;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_ON;YES;99144
cloud;2;3104;78.00;145;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_OFF;YES;99144
cloud;3;2692;87.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;99144
cloud;4;6594;0.00;166;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_ON;YES;99144
cloud;5;2472;92.00;121;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_OFF;YES;99144
cloud;6;3104;78.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;98600
cloud;7;2404;94.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;98600
cloud;8;6596;0.00;118;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_ON;YES;98600
cloud;9;6478;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98600
cloud;10;2176;99.00;105;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_OFF;YES;98600
cloud;11;6524;0.00;109;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_ON;YES;98600
cloud;12;4802;39.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;NO;98600
cloud;13;2368;94.00;179;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_OFF;YES;98600
cloud;14;2358;95.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;98600
cloud;15;2396;94.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;96524
cloud;16;2314;96.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;95692
cloud;17;6600;0.00;141;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_ON;YES;95692
cloud;18;6590;0.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;95692
cloud;19;6608;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;95692
cloud;20;6620;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;95692
cloud;21;6082;9.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;95692
cloud;22;6600;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;95692
cloud;23;6604;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;95692
cloud;24;6612;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;95692
cloud;25;6614;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;95692
cloud;26;6626;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;95692
cloud;27;6614;0.00;3000;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;95692
cloud;28;6620;0.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;94952
cloud;29;2332;95.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;NO;94952
