architecture;cycle_id;rawVal;moisturePct;end_to_end_latency_ms;mqtt_messages_count;reading_received;command_ack_received;data_loss;command_loss;decision;tb_connected;min_free_heap
cloud;1;6391;5.00;106;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_ON;YES;102084
cloud;2;6338;6.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;102084
cloud;3;6397;4.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;102084
cloud;4;6452;3.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;102084
cloud;5;6027;13.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;102084
cloud;6;6227;9.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98600
cloud;7;6193;9.00;3000;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98600
cloud;8;6355;6.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98600
cloud;9;6297;7.00;3000;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98600
cloud;10;6287;7.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98600
cloud;11;6353;5.00;3000;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98600
cloud;12;6357;6.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98600
cloud;13;6567;1.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;98600
cloud;14;2531;90.00;105;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_OFF;YES;98600
cloud;15;2568;89.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_OFF;YES;98600
cloud;16;6424;4.00;135;2;RECEIVED;SUCCESS;NO;NO;CLOUD_PUMP_ON;YES;97000
cloud;17;6499;3.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;97000
cloud;18;6395;4.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;97000
cloud;19;6574;1.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;97000
cloud;20;6537;2.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;97000
cloud;21;4497;46.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;97000
cloud;22;4444;48.00;3000;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;97000
cloud;23;6545;2.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;97000
cloud;24;6419;4.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;97000
cloud;25;4072;56.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;97000
cloud;26;3956;58.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;97000
cloud;27;4069;56.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;97000
cloud;28;6386;5.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;NO;97000
cloud;29;6544;2.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;97000
cloud;30;6388;4.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;31;6490;3.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;32;6212;9.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;33;6200;9.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;34;6212;8.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;35;6183;10.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;36;5129;33.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;37;5107;33.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;38;5175;32.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;39;6223;8.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;40;6283;7.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;41;6229;8.00;3002;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;42;3037;79.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;43;3002;80.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;44;4038;57.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;45;4117;55.00;3002;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;46;4152;55.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;47;4081;56.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;48;3196;76.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;49;3209;76.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;50;3077;78.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;51;6430;3.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;52;6422;4.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;53;6397;4.00;3002;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;54;6476;2.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;55;6584;1.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;56;6558;1.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;57;6561;1.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;58;6561;1.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;59;2438;92.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;60;6604;0.00;3002;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;61;6620;0.00;3001;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;62;6574;0.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;63;6586;0.00;3000;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;64;6507;2.00;3002;1;RECEIVED;NA;YES;NA;CLOUD_TIMEOUT_KEEP_ON;NO;94748
cloud;65;6535;1.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;94748
cloud;66;6562;1.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;94748
cloud;67;4740;42.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;94044
cloud;68;4811;40.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;94044
cloud;69;5849;16.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;94044
cloud;70;5856;16.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;94044
cloud;71;5904;15.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;94044
cloud;72;4906;38.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;94044
cloud;73;4779;40.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;94044
cloud;74;4861;38.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;94044
cloud;75;4866;38.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;94044
cloud;76;4833;39.00;3000;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;94044
cloud;77;4835;40.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;94044
cloud;78;6452;4.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;94044
cloud;79;6486;2.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;94044
cloud;80;6402;4.00;3000;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;94044
cloud;81;6411;4.00;3000;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;94044
cloud;82;6355;5.00;3000;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;94044
cloud;83;4109;56.00;3002;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;94044
cloud;84;6072;11.00;3001;1;RECEIVED;NA;NO;NA;CLOUD_KEEP_ON;YES;94044
