architecture;cycle_id;raw_value;moisture_pct;end_to_end_latency_ms;mqtt_messages_count;reading_received;command_ack_received;data_loss;command_loss;decision;cloud_outage;min_free_heap
hybrid;67;3194;76;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;100612
hybrid;68;4151;54;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;NO;100612
hybrid;69;5152;31;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;NO;100612
hybrid;70;5804;16;1;1;RECEIVED;NA;NO;NA;PUMP_ON;NO;100612
hybrid;71;6326;4;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;100612
hybrid;72;6326;4;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;100612
hybrid;73;4456;47;0;0;RECEIVED;NA;NO;NA;KEEP_ON;NO;100612
hybrid;74;3150;77;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;NO;100612
hybrid;75;2628;89;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;100612
hybrid;76;3716;64;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;100612
hybrid;77;4978;35;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;NO;100612
hybrid;78;5934;13;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;100612
hybrid;79;6456;1;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;100612
hybrid;80;6282;5;1;1;RECEIVED;NA;NO;NA;PUMP_ON;NO;100612
hybrid;81;5978;12;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;100612
hybrid;82;6065;10;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;100612
hybrid;83;6326;4;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;100612
hybrid;84;4630;43;0;0;RECEIVED;NA;NO;NA;KEEP_ON;NO;100612
hybrid;85;3629;66;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;NO;100612
hybrid;86;2846;84;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;100612
hybrid;87;3194;76;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;100612
hybrid;88;4151;54;0;0;RECEIVED;NA;NO;NA;KEEP_OFF;NO;100612
hybrid;89;5152;31;2;1;RECEIVED;SUCCESS;NO;NO;PUMP_ON;NO;100612
hybrid;90;5804;16;1;1;RECEIVED;NA;NO;NA;PUMP_ON;NO;100612
hybrid;91;6326;4;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;100612
hybrid;92;6326;4;0;0;RECEIVED;NA;NO;NA;PUMP_ON;NO;100612
hybrid;93;4456;47;0;0;RECEIVED;NA;NO;NA;KEEP_ON;NO;100612
hybrid;94;3150;77;1;1;RECEIVED;SUCCESS;NO;NO;PUMP_OFF;NO;100612
hybrid;95;2628;89;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;100612
hybrid;96;3716;64;0;0;RECEIVED;NA;NO;NA;PUMP_OFF;NO;100612
